

;;;error.dafault.constraint.violation.exception;ViolaÃ§Ã£o da constraint
;;;error.default.data.exception;Erro na avaliaÃ§Ã£o da expressÃ£o sql
;;;error.default.generic.jdbc.exception;Erro inesperado do banco de dados
;;;error.default.jdbc.connection.exception;Erro de conexÃ£o ao banco
;;;error.default.lock.acquisition.exception;Erro ao tenatr dar lock na base
;;;error.default.sql.grammar.exception;Erro na sintaxe do sql
;;;error.default.stale.stale.exception;Erro: o registro jÃ¡ foi alterado por outro usuÃ¡rio
;;;error.default.privileged.action.exception;O usuÃ¡rio nÃ£o tem permissÃ£o para executar a aÃ§Ã£o
;;;error.default.exportid.notunique.exception;Busca de entidade pelo ExportId retornou mais de um elemento: {0}, {1}...
;;;error.default.importaction.exception;NÃ£o foi possÃ­vel concluir a importaÃ§Ã£o, entidades referenciadas nÃ£o foram encontradas na base

;;;error.port.configuration;Erro na configuraÃ§Ã£o das portas
;;;port.file.not.found;Arquivo de configuraÃ§Ã£o de portas nÃ£o encontrado

#
#   Messages for the menu
#
;;;menu.usecases.title;Other links

#
#   Messages for the calendar
#
;;;calendar.title;Calendar
;;;calendar.popup;Click here to popup a calendar to choose the date from
;;;calendar.info;About this calendar
;;;calendar.toggle;Toggle
;;;calendar.previous.year;Prev. year (hold for menu)
;;;calendar.previous.month;Prev. month (hold for menu)
;;;calendar.go.today;Go Today
;;;calendar.next.month;Next month (hold for menu)
;;;calendar.next.year;Next year (hold for menu)
;;;calendar.select.date;Select date
;;;calendar.drag.to.move;Drag to move
;;;calendar.part.today; (today)
;;;calendar.week;wk
;;;calendar.time;Time:
;;;calendar.time.part;(Shift-)Click or drag to change value
;;;calendar.day.first;Display %s first
;;;calendar.today;Today
;;;calendar.close;Close

;;;month.0;January
;;;month.1;February
;;;month.2;March
;;;month.3;April
;;;month.4;May
;;;month.5;June
;;;month.6;July
;;;month.7;August
;;;month.8;September
;;;month.9;October
;;;month.10;November
;;;month.11;December

;;;day.0;Sunday
;;;day.1;Monday
;;;day.2;Tuesday
;;;day.3;Wednesday
;;;day.4;Thursday
;;;day.5;Friday
;;;day.6;Saturday

#
#   Messages for the login page
#
;;;login.title;Login
;;;login.username;User
;;;login.password;Password
;;;login.failed;Login failed, please try again
;;;login.submit;Login
;;;login.submit.title;Click to submit these credentials
;;;login.reset;Reset
;;;login.reset.title;Click to reset these credentials

;;;login.error;Login failed, please try again or register as a new user.

;;;login.howto.title;How to login
;;;login.howto;If you are a registered user you simply enter your user name and password and click on the submit button. In case this is your first time, you should register yourself to the system.

;;;login.register.user;Register a new user
;;;login.login.user;Log in a registered user

;;;login.na;This feature is not available yet

;;;login.entrar.login.title;Login
;;;login.entrar.login.param.login;Login
;;;login.entrar.login.param.senha;Senha
;;;login.entrar.login.validar;OK
;;;login.entrar.login.validar.title.reset.message;Limpar
;;;login.troca.de.senha.obrigatoria.param.usuario;Login
;;;login.troca.de.senha.obrigatoria.param.senha;Senha
;;;login.troca.de.senha.obrigatoria.title;Troca de Senha 
;;;login.troca.de.senha.obrigatoria.param.nova.senha;Nova senha
;;;login.troca.de.senha.obrigatoria.param.confirmacao;Repita nova senha
;;;login.troca.de.senha.obrigatoria.processar;Ok
;;;login.troca.de.senha.obrigatoria.validwhen;Os campos Nova senha e Repita nova senha devem ser iguais
;;;login.troca.de.senha.obrigatoria.processar.error;Ocorreu um erro no processament da troca de senha
;;;login.troca.de.senha.obrigatoria.processar.success;A senha foi trocada com sucesso
;;;login.troca.de.senha.obrigatoria.senha.antiga.igual.senha.nova;A nova senha deve ser diferente da senha atual
;;;login.troca.de.senha.obrigatoria.senha.fraca;A senha digitada no atende aos requisitos de segurana
;;;login.troca.de.senha.obrigatoria.senha.nova.diferente.confirmacao;A nova senha estÃ¡ diferente da confirmaÃ§Ã£o
;;;main.tela.principal.title;Tela inicial
;;;login.troca.de.senha.tile;Troca de senha
;;;saida.sistema.confirma.saida;Deseja sair do sistema?
;;;saida.sistema.nova.conexao;Nova conexao
;;;saida.sistema.fecha.browser;Sair
;;;saida.sistema.title;Logout
;;;login.logo;/layout/sgdc/LoginLogo.gif
;;;main.tela.principal.image;/layout/sgdc/LoginLogo.gif
;;;acesso.negado;O usuario nÃ£o possui permissÃ£o para acessar este serviÃ§o.
;;;subject.null;O usuario nÃ£o estÃ¡ logado no sistema.
;;;senha.incorreta;Senha incorreta
;;;usuario.incorreto;Login incorreto
;;;usuario.bloqueado;Este login foi bloqueado. Entre em contato com o administrador do sistema.

#
#   Messages for the validator plugin
#
;;;errors.required;{0} is required.
;;;errors.minlength;{0} can not be less than {1} characters.
;;;errors.maxlength;{0} can not be greater than {1} characters.
;;;errors.invalid;{0} is invalid.

;;;errors.byte;{0} must be a byte.
;;;errors.short;{0} must be a short.
;;;errors.integer;{0} must be an integer.
;;;errors.long;{0} must be a long.
;;;errors.float;{0} must be a float.
;;;errors.double;{0} must be a double.

;;;errors.date;{0} is not a valid date or does not respect the '{1}' format.
;;;errors.time;{0} is not a valid time or does not respect the '{1}' format.
;;;errors.range;{0} is not in the range {1} through {2}.
;;;errors.creditcard;{0} is an invalid credit card number.
;;;errors.email;{0} is an invalid e-mail address.
;;;errors.url;{0} is an invalid URL.

;;;pagina.expirou;A pÃ¡gina expirou
#
#   Messages for enumerations
#

#   CUSTOM MESSAGES-CONTEXT
# custom-messages-context merge-point

